"","mean.PVOUT_01","mean.PVOUT_02","mean.PVOUT_03","mean.PVOUT_04","mean.PVOUT_05","mean.PVOUT_06","mean.PVOUT_07","mean.PVOUT_08","mean.PVOUT_09","mean.PVOUT_10","mean.PVOUT_11","mean.PVOUT_12"
"9053",3.37977055867513,3.05179112752279,3.17046023050944,2.93026723225911,2.89130485534668,2.72489493052165,2.70682725270589,2.64421655019124,2.97903541564941,3.29789240519206,3.31247085571289,3.41735331217448
"9054",3.41705014546712,3.0743153889974,3.19287869771322,2.94584808349609,2.89857325236003,2.73735699971517,2.71756636301676,2.65548281351725,2.99009455362956,3.3007085164388,3.32677688598633,3.44638888041178
"9055",3.44502347310384,3.09777328491211,3.2049230448405,2.94918688456217,2.90057276407878,2.73867463429769,2.7106581624349,2.65618518829346,3.00029708862305,3.29998018900553,3.35276987711589,3.46865692138672
"9056",3.49070378621419,3.13498245239258,3.23097885131836,2.96858889261881,2.91213045756022,2.7539488474528,2.73679695129395,2.66772370656331,3.00042007446289,3.30498954772949,3.36256444295247,3.497232615153
"9057",3.48896776835124,3.13945821126302,3.23204704284668,2.9624875386556,2.91289085388184,2.74678508758545,2.7211770884196,2.66739557902018,3.00815628051758,3.30658109029134,3.37871757507324,3.4905579884847
"9058",3.52750002543132,3.17414683024089,3.27152384440104,2.99250831604004,2.93139592488607,2.76474052429199,2.75611729939779,2.68900868733724,3.02482714335124,3.32091952006022,3.3955967203776,3.523892771403
"9059",3.54846316019694,3.19217516581217,3.29446566263835,3.00498840332031,2.94467542012533,2.77947832743327,2.78662737528483,2.71967348734538,3.04260190327962,3.32466166178385,3.40088081359863,3.53557047526042
"9060",3.56116640726725,3.20559549967448,3.31259086608887,3.00956103006999,2.95196762084961,2.77137680053711,2.79727821350098,2.7491839726766,3.04803443908691,3.33598759969076,3.42084551493327,3.54376688639323
"9061",3.53937609354655,3.18766832987467,3.29401934305827,2.99466486612956,2.94574956258138,2.76416774749756,2.80337097167969,2.77535400390625,3.05376815795898,3.3374614461263,3.4067689259847,3.52477582295736
"9062",3.52409774780273,3.16860155741374,3.27920186360677,2.9759809366862,2.93719741821289,2.74683666229248,2.80573315938314,2.78290440877279,3.05764717102051,3.33540771484375,3.39946449279785,3.50791651407878
"9063",3.51,3.15308715820313,3.2644815826416,2.96103518168132,2.92018834431966,2.73237739562988,2.79692545572917,2.79317008972168,3.06369331359863,3.33203684488932,3.38140177408854,3.48943061828613
